koryakov_bd_id,lang_1_K,eng_vil_name,rus_vil_name,rus_vil_name_mdg,census_1885,census_1895,census_1926,census_2010,Lat,Lon,lang_1_S,elevation
671,Kumyk,Buglen,Буглен,Буглен,1012,942,820,,427553,471989,Kumyk,52150
673,Kumyk,,кутан Дардур,кутан Дардур,,,67,,,,,
675,Kumyk,,Карти-Котан,Карти-Котан,,,15,,,,,
677,Kumyk,Dorgeli,Доргели,Доргели,4291,4620,3162,5781,4266556,4729667,Kumyk,66740
679,Kumyk,,Аданак-Котан,Аданак-Котан,,,14,,,,,
681,Kumyk,,Кака,Кака,,,42,,,,,
683,Kumyk,,Кака-Кас,Кака-Кас,,,21,,,,,
685,Kumyk,,Какали-Баш,Какали-Баш,,,46,,,,,
687,Kumyk,,Конабур-Котан,Конабур-Котан,,,105,,,,,
689,Kumyk,,Кона-Котан,Кона-Котан,,,32,,,,,
691,Kumyk,,Контук-Баш,Контук-Баш,,,8,,,,,
693,Dargwa,,Мирза-Аул,Мирза-Аул,,,50,,,,,
695,Kumyk,,Нан-Котан,Нан-Котан,,,7,,,,,
697,Kumyk,,Тершаил,Тершаил,,,18,,,,,
699,Kumyk,,Югары-Котан,Югары-Котан,,,15,,,,,
701,Avar,Verkhniy Dzhengutay,Верхний Дженгутай,Верхний Дженгутай,1856,1756,1479,2145,4267476,4723415,Avar,74235
703,Kumyk,Nizhniy Dzhengutay,Нижний Дженгутай,Нижний Дженгутай,4733,4314,4552,7517,427014,472417,Kumyk,62599
705,Avar,Durangi,Дуранги,Дуранги,329,342,345,553,4263571,4722366,Avar,104006
707,Avar,,Нахадурали,Нахадурали,,,79,,,,,
709,Kumyk,Nizhnie Ishkarty,Нижний Ишкарты,Нижний Ишкарты,631,551,539,1002,4284698,4697147,Kumyk,81553
711,Kumyk,Verkhnie Ishkarty,Верхний Ишкарты,Верхний Ишкарты,,,180,377,4284907,4695309,Kumyk,84809
713,Dargwa,Kadar,Кадар,Кадар,3261,3214,1530,2276,426242,472903,Dargwa,110749
715,Dargwa,,Ванаков,Ванаков,,,351,,,,,
717,Dargwa,,Ванашимахи,Ванашимахи,,,380,283,,,,
719,Dargwa,Karamakhi,Карамахи,Карамахи,,,810,4489,42618786,47256653,Dargwa,107125
721,Dargwa,Kachkalyk,Качкалык,Качкалык,,,408,419,4261852,4733391,Dargwa,110259
723,Dargwa,,Нуай,Нуай,,,244,,,,,
725,Kumyk,Verkhnee Kazanische,Верхнее Казанище,Верхнее Казанище,2019,1972,2481,6576,427306,471381,Kumyk,72533
727,Kumyk,,Айламабут,Айламабут,,,6,,,,,
729,Avar,,Гергиш-Тала Б.,Гергиш-Тала Б.,,,54,,,,,
